ano;codigo_municipio;municipio;uf;ibc;cobertura_pop_4g5g;densidade_smp;hhi_smp;densidade_scm;hhi_scm;adensamento_estacoes;fibra;cobertura_area_agricultavel
2024;1101807;Vale do Paraíso - RO;RO;26.53;36.7885;37.19;11.0;3.54;25.0;14.61;50.0;19.2492
2024;1200013;Acrelândia - AC;AC;45.05;52.9765;54.98;56.0;4.13;74.0;13.65;100.0;10.8196
2024;1200054;Assis Brasil - AC;AC;45.02;64.6537;53.31;36.0;2.62;44.0;17.5;100.0;24.1076
2024;1200104;Brasiléia - AC;AC;44.25;68.7034;55.3;31.0;11.87;38.0;12.57;100.0;11.623
2024;1200138;Bujari - AC;AC;42.22;47.3329;47.18;55.0;7.1;65.0;14.53;100.0;5.7802
2024;1200179;Capixaba - AC;AC;44.82;50.0185;40.56;61.0;3.07;46.0;32.05;100.0;24.128
2024;1200203;Cruzeiro do Sul - AC;AC;49.81;79.3098;59.52;53.0;32.71;41.0;12.2;100.0;1.9681
2024;1200252;Epitaciolândia - AC;AC;47.84;71.8424;55.71;50.0;12.25;62.0;7.6;100.0;16.471
2024;1200302;Feijó - AC;AC;40.11;52.9167;42.09;53.0;6.97;58.0;6.64;100.0;1.4711
2024;1200328;Jordão - AC;AC;15.01;35.4072;33.91;2.0;8.2;17.0;10.22;0.0;6.2352
2024;1200336;Mâncio Lima - AC;AC;39.05;62.1345;51.07;50.0;28.72;59.0;7.38;50.0;11.4466
2024;1200344;Manoel Urbano - AC;AC;43.16;67.6285;44.18;48.0;16.42;34.0;11.74;100.0;6.8037
2024;1200351;Marechal Thaumaturgo - AC;AC;16.28;30.347;36.72;16.0;8.04;33.0;8.36;0.0;4.5096
2024;1200385;Plácido de Castro - AC;AC;44.93;63.4147;49.86;32.0;4.74;67.0;20.44;100.0;12.7989
2024;1200393;Porto Walter - AC;AC;17.72;40.8914;31.53;10.0;4.19;50.0;13.3;0.0;2.5386
2024;1200401;Rio Branco - AC;AC;62.75;96.3137;69.48;62.0;58.08;65.0;23.59;100.0;13.4593
2024;1200427;Rodrigues Alves - AC;AC;34.53;43.3908;43.85;53.0;16.67;65.0;16.09;50.0;5.9904
2024;1200435;Santa Rosa do Purus - AC;AC;16.43;40.7611;24.7;14.0;6.33;24.0;21.0;0.0;3.0048
2024;1200450;Senador Guiomard - AC;AC;49.46;69.3498;57.41;57.0;27.39;25.0;17.9;100.0;19.0888
2024;1200500;Sena Madureira - AC;AC;42.06;67.3118;53.38;47.0;4.87;37.0;9.11;100.0;1.6107
2024;1200609;Tarauacá - AC;AC;40.28;57.0286;42.31;31.0;9.28;74.0;4.3;100.0;1.318
2024;1200708;Xapuri - AC;AC;44.21;65.4818;50.21;51.0;3.89;63.0;13.1;100.0;4.895
2024;1200807;Porto Acre - AC;AC;45.48;59.7812;48.23;27.0;6.32;71.0;25.78;100.0;16.9371
2024;1300029;Alvarães - AM;AM;18.94;59.3418;25.5;33.0;6.64;19.0;12.0;0.0;0.798
2024;1300060;Amaturá - AM;AM;22.62;70.8951;33.36;32.0;4.62;30.0;13.15;0.0;2.147
2024;1300086;Anamã - AM;AM;20.54;46.0571;46.17;10.0;3.13;48.0;14.54;0.0;2.157
2024;1300102;Anori - AM;AM;28.07;62.9384;36.39;10.0;2.86;38.0;11.15;50.0;0.1648
2024;1300144;Apuí - AM;AM;23.8;63.6477;33.92;23.0;13.0;65.0;9.2;0.0;0.145
2024;1300201;Atalaia do Norte - AM;AM;16.43;45.9827;28.12;13.0;7.71;18.0;9.44;0.0;6.4116
2024;1300300;Autazes - AM;AM;34.53;50.3152;36.5;61.0;20.34;68.0;9.93;50.0;2.7143
2024;1300409;Barcelos - AM;AM;17.36;47.1053;38.22;19.0;6.39;19.0;8.05;0.0;0.003
2024;1300508;Barreirinha - AM;AM;27.87;54.8305;38.3;38.0;3.01;78.0;20.94;0.0;20.1923
2024;1300607;Benjamin Constant - AM;AM;22.51;68.8259;36.45;33.0;4.25;21.0;8.64;0.0;9.2496
2024;1300631;Beruri - AM;AM;20.59;50.7595;36.01;6.0;3.29;65.0;15.81;0.0;0.8035
2024;1300680;Boa Vista do Ramos - AM;AM;25.1;57.3444;30.54;48.0;0.85;68.0;11.64;0.0;16.6742
2024;1300706;Boca do Acre - AM;AM;26.32;65.7371;37.71;56.0;11.18;53.0;11.77;0.0;0.5866
2024;1300805;Borba - AM;AM;35.27;46.2398;36.11;28.0;3.3;42.0;11.47;100.0;0.6461
2024;1300839;Caapiranga - AM;AM;29.17;50.9133;26.62;7.0;0.65;71.0;17.47;50.0;12.9999
2024;1300904;Canutama - AM;AM;34.34;52.6358;24.93;15.0;6.32;52.0;8.39;100.0;0.0732
2024;1301001;Carauari - AM;AM;31.36;79.1464;34.01;49.0;5.79;18.0;6.47;50.0;0.6798
2024;1301100;Careiro - AM;AM;35.65;31.6248;28.56;46.0;4.07;76.0;9.25;100.0;2.215
2024;1301159;Careiro da Várzea - AM;AM;31.69;23.6249;16.65;36.0;3.26;56.0;10.1;100.0;10.9057
2024;1301209;Coari - AM;AM;43.96;66.7813;44.77;66.0;8.41;67.0;5.42;100.0;0.2182
2024;1301308;Codajás - AM;AM;34.7;71.8139;41.66;31.0;6.18;68.0;10.22;50.0;3.7309
2024;1301407;Eirunepé - AM;AM;22.51;71.1668;40.71;33.0;4.22;24.0;8.44;0.0;0.3406
2024;1301506;Envira - AM;AM;24.69;65.6058;43.87;53.0;2.86;32.0;8.37;0.0;6.0248
2024;1301605;Fonte Boa - AM;AM;18.77;65.6836;29.63;29.0;4.75;15.0;5.38;0.0;0.6488
2024;1301654;Guajará - AM;AM;23.26;55.308;38.0;12.0;13.43;64.0;13.95;0.0;1.6353
2024;1301704;Humaitá - AM;AM;42.24;70.3261;43.95;52.0;10.83;39.0;8.83;100.0;0.4901
